ts_code,year_week
000006.SZ,2023-W49
000006.SZ,2023-W50
000006.SZ,2023-W51
000006.SZ,2023-W52
000006.SZ,2024-W02
000006.SZ,2024-W03
000006.SZ,2024-W04
000006.SZ,2024-W05
000006.SZ,2024-W08
000006.SZ,2024-W09
000006.SZ,2024-W10
000006.SZ,2024-W11
000006.SZ,2024-W12
000006.SZ,2024-W13
000006.SZ,2024-W15
000006.SZ,2024-W16
000006.SZ,2024-W17
000006.SZ,2024-W19
000006.SZ,2024-W20
000006.SZ,2024-W21
000006.SZ,2024-W22
000006.SZ,2024-W23
000006.SZ,2024-W25
000006.SZ,2024-W26
000006.SZ,2024-W27
000006.SZ,2024-W28
000006.SZ,2024-W29
000006.SZ,2024-W30
000006.SZ,2024-W31
000006.SZ,2024-W32
000006.SZ,2024-W33
000006.SZ,2024-W34
000006.SZ,2024-W35
000006.SZ,2024-W36
000006.SZ,2024-W37
000006.SZ,2024-W39
000006.SZ,2024-W42
000006.SZ,2024-W43
000006.SZ,2024-W44
000006.SZ,2024-W45
000006.SZ,2024-W46
000006.SZ,2024-W47
000006.SZ,2024-W48
000006.SZ,2024-W49
000006.SZ,2024-W50
000006.SZ,2024-W51
000006.SZ,2024-W52
000006.SZ,2025-W02
000006.SZ,2025-W03
000006.SZ,2025-W04
000006.SZ,2025-W07
000006.SZ,2025-W08
000006.SZ,2025-W09
000006.SZ,2025-W10
000006.SZ,2025-W11
000006.SZ,2025-W12
000006.SZ,2025-W13
000006.SZ,2025-W15
000006.SZ,2025-W16
000006.SZ,2025-W17
000006.SZ,2025-W20
000006.SZ,2025-W21
000006.SZ,2025-W22
000006.SZ,2025-W24
000006.SZ,2025-W25
000006.SZ,2025-W26
000006.SZ,2025-W27
000006.SZ,2025-W28
000006.SZ,2025-W29
000006.SZ,2025-W30
000006.SZ,2025-W31
000006.SZ,2025-W32
000006.SZ,2025-W33
000006.SZ,2025-W34
000006.SZ,2025-W35
000006.SZ,2025-W36
000006.SZ,2025-W37
000006.SZ,2025-W38
000006.SZ,2025-W39
000006.SZ,2025-W42
000006.SZ,2025-W43
000006.SZ,2025-W44
000006.SZ,2025-W45
000006.SZ,2025-W46
000006.SZ,2025-W47
000006.SZ,2025-W48
000006.SZ,2025-W49
000006.SZ,2025-W50
000006.SZ,2025-W51
000006.SZ,2025-W52
000006.SZ,2026-W02
000006.SZ,2026-W03
000006.SZ,2026-W04
000006.SZ,2026-W05
000006.SZ,2026-W06
000006.SZ,2026-W07
000006.SZ,2026-W10
000006.SZ,2026-W11
000006.SZ,2026-W12
000006.SZ,2026-W13
000006.SZ,2026-W14
000006.SZ,2026-W16
000006.SZ,2026-W17
000006.SZ,2026-W20
000006.SZ,2026-W21
000006.SZ,2026-W22
000006.SZ,2026-W23
000007.SZ,2023-W24
000007.SZ,2023-W26
000007.SZ,2023-W27
000007.SZ,2023-W28
000007.SZ,2023-W29
000007.SZ,2023-W30
000007.SZ,2023-W31
000007.SZ,2023-W32
000007.SZ,2023-W33
000007.SZ,2023-W34
000007.SZ,2023-W35
000007.SZ,2023-W36
000007.SZ,2023-W37
000007.SZ,2023-W38
000007.SZ,2023-W41
000007.SZ,2023-W42
000007.SZ,2023-W43
000007.SZ,2023-W44
000007.SZ,2023-W45
000007.SZ,2023-W46
000007.SZ,2023-W47
000007.SZ,2023-W48
000007.SZ,2023-W49
000007.SZ,2023-W50
000007.SZ,2023-W51
000007.SZ,2023-W52
000007.SZ,2024-W02
000007.SZ,2024-W03
000007.SZ,2024-W04
000007.SZ,2024-W05
000007.SZ,2024-W08
000007.SZ,2024-W09
000007.SZ,2024-W10
000007.SZ,2024-W11
000007.SZ,2024-W12
000007.SZ,2024-W13
000007.SZ,2024-W15
000007.SZ,2024-W16
000007.SZ,2024-W17
000007.SZ,2024-W19
000007.SZ,2024-W20
000007.SZ,2024-W21
000007.SZ,2024-W22
000007.SZ,2024-W23
000007.SZ,2024-W25
000007.SZ,2024-W26
000007.SZ,2024-W28
000007.SZ,2024-W29
000007.SZ,2024-W30
000007.SZ,2024-W31
000007.SZ,2024-W32
000007.SZ,2024-W33
000007.SZ,2024-W34
000007.SZ,2024-W35
000007.SZ,2024-W36
000007.SZ,2024-W37
000007.SZ,2024-W39
000007.SZ,2024-W42
000007.SZ,2024-W43
000007.SZ,2024-W44
000007.SZ,2024-W45
000007.SZ,2024-W46
000007.SZ,2024-W47
000007.SZ,2024-W48
000007.SZ,2024-W49
000007.SZ,2024-W50
000007.SZ,2024-W51
000007.SZ,2024-W52
000007.SZ,2025-W02
000007.SZ,2025-W03
000007.SZ,2025-W04
000007.SZ,2025-W07
000007.SZ,2025-W08
000007.SZ,2025-W09
000007.SZ,2025-W10
000007.SZ,2025-W11
000007.SZ,2025-W12
000007.SZ,2025-W13
000007.SZ,2025-W15
000007.SZ,2025-W16
000007.SZ,2025-W17
000007.SZ,2025-W20
000007.SZ,2025-W21
000007.SZ,2025-W22
000007.SZ,2025-W24
000007.SZ,2025-W25
000007.SZ,2025-W26
000007.SZ,2025-W27
000007.SZ,2025-W28
000007.SZ,2025-W29
000007.SZ,2025-W30
000007.SZ,2025-W31
000007.SZ,2025-W32
000007.SZ,2025-W33
000007.SZ,2025-W34
000007.SZ,2025-W35
000007.SZ,2025-W36
000007.SZ,2025-W37
000007.SZ,2025-W38
000007.SZ,2025-W39
000007.SZ,2025-W42
000007.SZ,2025-W43
000007.SZ,2025-W44
000007.SZ,2025-W45
000007.SZ,2025-W46
000007.SZ,2025-W47
000007.SZ,2025-W48
000007.SZ,2025-W49
000007.SZ,2025-W50
000007.SZ,2025-W51
000007.SZ,2025-W52
000007.SZ,2026-W02
000007.SZ,2026-W03
000007.SZ,2026-W04
000007.SZ,2026-W05
000007.SZ,2026-W06
000007.SZ,2026-W07
000007.SZ,2026-W10
000007.SZ,2026-W11
000007.SZ,2026-W12
000007.SZ,2026-W13
000007.SZ,2026-W14
000007.SZ,2026-W16
000007.SZ,2026-W17
000007.SZ,2026-W20
000007.SZ,2026-W21
000007.SZ,2026-W22
000007.SZ,2026-W23
000008.SZ,2023-W24
000008.SZ,2023-W26
000008.SZ,2023-W27
000008.SZ,2023-W28
000008.SZ,2023-W29
000008.SZ,2023-W30
000008.SZ,2023-W31
000008.SZ,2023-W32
000008.SZ,2023-W33
000008.SZ,2023-W34
000008.SZ,2023-W35
000008.SZ,2023-W36
000008.SZ,2023-W37
000008.SZ,2023-W38
000008.SZ,2023-W41
000008.SZ,2023-W42
000008.SZ,2023-W43
000008.SZ,2023-W44
000008.SZ,2023-W45
000008.SZ,2023-W46
000008.SZ,2023-W47
000008.SZ,2023-W48
000008.SZ,2023-W49
000008.SZ,2023-W50
000008.SZ,2023-W51
000008.SZ,2023-W52
000008.SZ,2024-W02
000008.SZ,2024-W03
000008.SZ,2024-W04
000008.SZ,2024-W05
000008.SZ,2024-W08
000008.SZ,2024-W09
000008.SZ,2024-W10
000008.SZ,2024-W11
000008.SZ,2024-W12
000008.SZ,2024-W13
000008.SZ,2024-W15
000008.SZ,2024-W16
000008.SZ,2024-W17
000008.SZ,2024-W19
000008.SZ,2024-W20
000008.SZ,2024-W21
000008.SZ,2024-W22
000008.SZ,2024-W23
000008.SZ,2024-W25
000008.SZ,2024-W26
000008.SZ,2024-W27
000008.SZ,2024-W28
000008.SZ,2024-W29
000008.SZ,2024-W30
000008.SZ,2024-W31
000008.SZ,2024-W32
000008.SZ,2024-W33
000008.SZ,2024-W34
000008.SZ,2024-W35
000008.SZ,2024-W36
000008.SZ,2024-W37
000008.SZ,2024-W39
000008.SZ,2024-W42
000008.SZ,2024-W43
000008.SZ,2024-W44
000008.SZ,2024-W45
000008.SZ,2024-W46
000008.SZ,2024-W47
000008.SZ,2024-W48
000008.SZ,2024-W49
000008.SZ,2024-W50
000008.SZ,2024-W51
000008.SZ,2024-W52
000008.SZ,2025-W02
000008.SZ,2025-W03
000008.SZ,2025-W04
000008.SZ,2025-W07
000008.SZ,2025-W08
000008.SZ,2025-W09
000008.SZ,2025-W10
000008.SZ,2025-W11
000008.SZ,2025-W12
000008.SZ,2025-W13
000008.SZ,2025-W15
000008.SZ,2025-W16
000008.SZ,2025-W17
000008.SZ,2025-W20
000008.SZ,2025-W21
000008.SZ,2025-W22
000008.SZ,2025-W24
000008.SZ,2025-W25
000008.SZ,2025-W26
000008.SZ,2025-W27
000008.SZ,2025-W28
000008.SZ,2025-W29
000008.SZ,2025-W30
000008.SZ,2025-W31
000008.SZ,2025-W32
000008.SZ,2025-W33
000008.SZ,2025-W34
000008.SZ,2025-W35
000008.SZ,2025-W36
000008.SZ,2025-W37
000008.SZ,2025-W38
000008.SZ,2025-W39
000008.SZ,2025-W42
000008.SZ,2025-W43
000008.SZ,2025-W44
000008.SZ,2025-W45
000008.SZ,2025-W46
000008.SZ,2025-W47
000008.SZ,2025-W48
000008.SZ,2025-W49
000008.SZ,2025-W50
000008.SZ,2025-W51
000008.SZ,2025-W52
000008.SZ,2026-W02
000008.SZ,2026-W03
000008.SZ,2026-W04
000008.SZ,2026-W05
000008.SZ,2026-W06
000008.SZ,2026-W07
000008.SZ,2026-W10
000008.SZ,2026-W11
000008.SZ,2026-W12
000008.SZ,2026-W13
000008.SZ,2026-W14
000008.SZ,2026-W16
000008.SZ,2026-W17
000008.SZ,2026-W20
000008.SZ,2026-W21
000008.SZ,2026-W22
000008.SZ,2026-W23
000009.SZ,2023-W24
000009.SZ,2023-W26
000009.SZ,2023-W27
000009.SZ,2023-W28
000009.SZ,2023-W29
000009.SZ,2023-W30
000009.SZ,2023-W31
000009.SZ,2023-W32
000009.SZ,2023-W33
000009.SZ,2023-W34
000009.SZ,2023-W35
000009.SZ,2023-W36
000009.SZ,2023-W37
000009.SZ,2023-W38
000009.SZ,2023-W41
000009.SZ,2023-W42
000009.SZ,2023-W43
000009.SZ,2023-W44
000009.SZ,2023-W45
000009.SZ,2023-W46
000009.SZ,2023-W47
000009.SZ,2023-W48
000009.SZ,2023-W49
000009.SZ,2023-W50
000009.SZ,2023-W51
000009.SZ,2023-W52
000009.SZ,2024-W02
000009.SZ,2024-W03
000009.SZ,2024-W04
000009.SZ,2024-W05
000009.SZ,2024-W08
000009.SZ,2024-W09
000009.SZ,2024-W10
000009.SZ,2024-W11
000009.SZ,2024-W12
000009.SZ,2024-W13
000009.SZ,2024-W15
000009.SZ,2024-W16
000009.SZ,2024-W17
000009.SZ,2024-W19
000009.SZ,2024-W20
000009.SZ,2024-W21
000009.SZ,2024-W22
000009.SZ,2024-W23
000009.SZ,2024-W25
000009.SZ,2024-W26
000009.SZ,2024-W27
000009.SZ,2024-W28
000009.SZ,2024-W29
000009.SZ,2024-W30
000009.SZ,2024-W31
000009.SZ,2024-W32
000009.SZ,2024-W33
000009.SZ,2024-W34
000009.SZ,2024-W35
000009.SZ,2024-W36
000009.SZ,2024-W37
000009.SZ,2024-W39
000009.SZ,2024-W42
000009.SZ,2024-W43
000009.SZ,2024-W44
000009.SZ,2024-W45
000009.SZ,2024-W46
000009.SZ,2024-W47
000009.SZ,2024-W48
000009.SZ,2024-W49
000009.SZ,2024-W50
000009.SZ,2024-W51
000009.SZ,2024-W52
000009.SZ,2025-W02
000009.SZ,2025-W03
000009.SZ,2025-W04
000009.SZ,2025-W07
000009.SZ,2025-W08
000009.SZ,2025-W09
000009.SZ,2025-W10
000009.SZ,2025-W11
000009.SZ,2025-W12
000009.SZ,2025-W13
000009.SZ,2025-W15
000009.SZ,2025-W16
000009.SZ,2025-W17
000009.SZ,2025-W20
000009.SZ,2025-W21
000009.SZ,2025-W22
000009.SZ,2025-W24
000009.SZ,2025-W25
000009.SZ,2025-W26
000009.SZ,2025-W27
000009.SZ,2025-W28
000009.SZ,2025-W29
000009.SZ,2025-W30
000009.SZ,2025-W31
000009.SZ,2025-W32
000009.SZ,2025-W33
000009.SZ,2025-W34
000009.SZ,2025-W35
000009.SZ,2025-W36
000009.SZ,2025-W37
000009.SZ,2025-W38
000009.SZ,2025-W39
000009.SZ,2025-W42
000009.SZ,2025-W43
000009.SZ,2025-W44
000009.SZ,2025-W45
000009.SZ,2025-W46
000009.SZ,2025-W47
000009.SZ,2025-W48
000009.SZ,2025-W49
000009.SZ,2025-W50
000009.SZ,2025-W51
000009.SZ,2025-W52
000009.SZ,2026-W02
000009.SZ,2026-W03
000009.SZ,2026-W04
000009.SZ,2026-W05
000009.SZ,2026-W06
000009.SZ,2026-W07
000009.SZ,2026-W10
000009.SZ,2026-W11
000009.SZ,2026-W12
000009.SZ,2026-W13
000009.SZ,2026-W14
000009.SZ,2026-W16
000009.SZ,2026-W17
000009.SZ,2026-W20
000009.SZ,2026-W21
000009.SZ,2026-W22
000009.SZ,2026-W23
000010.SZ,2023-W24
000010.SZ,2023-W26
000010.SZ,2023-W27
000010.SZ,2023-W28
000010.SZ,2023-W29
000010.SZ,2023-W30
000010.SZ,2023-W31
000010.SZ,2023-W32
000010.SZ,2023-W33
000010.SZ,2023-W34
000010.SZ,2023-W35
000010.SZ,2023-W36
000010.SZ,2023-W37
000010.SZ,2023-W38
000010.SZ,2023-W41
000010.SZ,2023-W42
000010.SZ,2023-W43
000010.SZ,2023-W44
000010.SZ,2023-W45
000010.SZ,2023-W46
000010.SZ,2023-W47
000010.SZ,2023-W48
000010.SZ,2023-W49
000010.SZ,2023-W50
000010.SZ,2023-W51
000010.SZ,2023-W52
000010.SZ,2024-W02
000010.SZ,2024-W03
000010.SZ,2024-W04
000010.SZ,2024-W05
000010.SZ,2024-W08
000010.SZ,2024-W09
000010.SZ,2024-W10
000010.SZ,2024-W11
000010.SZ,2024-W12
000010.SZ,2024-W13
000010.SZ,2024-W15
000010.SZ,2024-W16
000010.SZ,2024-W17
000010.SZ,2024-W19
000010.SZ,2024-W20
000010.SZ,2024-W21
000010.SZ,2024-W22
000010.SZ,2024-W23
000010.SZ,2024-W25
000010.SZ,2024-W26
000010.SZ,2024-W27
000010.SZ,2024-W28
000010.SZ,2024-W29
000010.SZ,2024-W30
000010.SZ,2024-W31
000010.SZ,2024-W32
000010.SZ,2024-W33
000010.SZ,2024-W34
000010.SZ,2024-W35
000010.SZ,2024-W36
000010.SZ,2024-W37
000010.SZ,2024-W39
000010.SZ,2024-W42
000010.SZ,2024-W43
000010.SZ,2024-W44
000010.SZ,2024-W45
000010.SZ,2024-W46
000010.SZ,2024-W47
000010.SZ,2024-W48
000010.SZ,2024-W49
000010.SZ,2024-W50
000010.SZ,2024-W51
000010.SZ,2024-W52
000010.SZ,2025-W02
000010.SZ,2025-W03
000010.SZ,2025-W04
000010.SZ,2025-W07
000010.SZ,2025-W08
000010.SZ,2025-W09
000010.SZ,2025-W10
000010.SZ,2025-W11
000010.SZ,2025-W12
000010.SZ,2025-W13
000010.SZ,2025-W15
000010.SZ,2025-W16
000010.SZ,2025-W17
000010.SZ,2025-W20
000010.SZ,2025-W21
000010.SZ,2025-W22
000010.SZ,2025-W24
000010.SZ,2025-W25
000010.SZ,2025-W26
000010.SZ,2025-W27
000010.SZ,2025-W28
000010.SZ,2025-W29
000010.SZ,2025-W30
000010.SZ,2025-W31
000010.SZ,2025-W32
000010.SZ,2025-W33
000010.SZ,2025-W34
000010.SZ,2025-W35
000010.SZ,2025-W36
000010.SZ,2025-W37
000010.SZ,2025-W38
000010.SZ,2025-W39
000010.SZ,2025-W42
000010.SZ,2025-W43
000010.SZ,2025-W44
000010.SZ,2025-W45
000010.SZ,2025-W46
000010.SZ,2025-W47
000010.SZ,2025-W48
000010.SZ,2025-W49
000010.SZ,2025-W50
000010.SZ,2025-W51
000010.SZ,2025-W52
000010.SZ,2026-W02
000010.SZ,2026-W03
000010.SZ,2026-W04
000010.SZ,2026-W05
000010.SZ,2026-W06
000010.SZ,2026-W07
000010.SZ,2026-W10
000010.SZ,2026-W11
000010.SZ,2026-W12
000010.SZ,2026-W13
000010.SZ,2026-W14
000010.SZ,2026-W16
000010.SZ,2026-W17
000010.SZ,2026-W20
000010.SZ,2026-W21
000010.SZ,2026-W22
000010.SZ,2026-W23
000011.SZ,2023-W24
000011.SZ,2023-W26
000011.SZ,2023-W27
000011.SZ,2023-W28
000011.SZ,2023-W29
000011.SZ,2023-W30
000011.SZ,2023-W31
000011.SZ,2023-W32
000011.SZ,2023-W33
000011.SZ,2023-W34
000011.SZ,2023-W35
000011.SZ,2023-W36
000011.SZ,2023-W37
000011.SZ,2023-W38
000011.SZ,2023-W41
000011.SZ,2023-W42
000011.SZ,2023-W43
000011.SZ,2023-W44
000011.SZ,2023-W45
000011.SZ,2023-W46
000011.SZ,2023-W47
000011.SZ,2023-W48
000011.SZ,2023-W49
000011.SZ,2023-W50
000011.SZ,2023-W51
000011.SZ,2023-W52
000011.SZ,2024-W02
000011.SZ,2024-W03
000011.SZ,2024-W04
000011.SZ,2024-W05
000011.SZ,2024-W08
000011.SZ,2024-W09
000011.SZ,2024-W10
000011.SZ,2024-W11
000011.SZ,2024-W12
000011.SZ,2024-W13
000011.SZ,2024-W15
000011.SZ,2024-W16
000011.SZ,2024-W17
000011.SZ,2024-W19
000011.SZ,2024-W20
000011.SZ,2024-W21
000011.SZ,2024-W22
000011.SZ,2024-W23
000011.SZ,2024-W25
000011.SZ,2024-W26
000011.SZ,2024-W27
000011.SZ,2024-W28
000011.SZ,2024-W29
